ID,Date,Species,Sex,Age,Capture_Type,Plot,Night,Azimut,Station,Trap,Weight_g,Body_Length_mm,Tail_Length_mm,Hind_Foot_Length_mm
2017-541,7/16/2017,M. rutilus,M,J,L,107,2,180,9,Sherman,13,95.6,34.2,16.6
2017-542,7/16/2017,M. rutilus,M,A,L,107,2,300,2,Sherman,19,104,33.5,18.2
2017-543,7/16/2017,M. rutilus,M,A,L,107,2,300,3,Sherman,20,109.6,30.1,18.2
2017-544,7/16/2017,S.,U,J,D,113,1,60,3,Pitfall,2.1,86.6,46.2,11.5
2017-545,7/16/2017,M. rutilus,M,A,L,113,1,60,4,Sherman,24,107.9,27.4,16.4
2017-546,7/16/2017,M. rutilus,M,SA,D,113,1,60,5,Victor,17.9,98.2,27.6,17
2017-547,7/16/2017,M. rutilus,F,J,L,113,1,60,5,Sherman,15,98.6,32.5,17.9
2017-548,7/16/2017,M. rutilus,M,J,D,113,1,60,6,Victor,17.8,100.7,27.5,17.7
2017-549,7/16/2017,S. cinereus,U,J,D,113,1,60,6,Pitfall,3.1,75.2,39.6,10.4
2017-550,7/16/2017,M. rutilus,M,J,D,113,1,60,8,Victor,18.2,102.5,24.1,18.6
2017-551,7/16/2017,M. rutilus,M,J,D,113,1,60,8,Sherman,15.2,93.1,33,15.6
2017-552,7/16/2017,M. rutilus,M,J,L,113,1,60,9,Sherman,16,109.8,27.8,16.3
2017-553,7/16/2017,M. rutilus,M,J,D,113,1,180,2,Sherman,13,90.3,27.9,17.3
2017-554,7/16/2017,M. rutilus,M,J,L,113,1,180,3,Sherman,13,101.9,29.3,16.4
2017-557,7/16/2017,M. rutilus,F,J,L,113,1,60,3,Sherman,14,111.5,26.4,16.6
2017-558,7/16/2017,M. rutilus,M,J,L,113,1,300,1,Sherman,10,87.2,26.3,17.6
2017-559,7/16/2017,M. rutilus,F,A,L,113,1,300,2,Sherman,16,111.7,30.2,16.5
2017-560,7/16/2017,M. rutilus,M,SA,D,113,1,300,3,Victor,11.5,85.8,23.3,15.8
2017-561,7/16/2017,M. rutilus,M,J,L,113,1,300,4,Sherman,12,105.7,32.7,16.4
2017-562,7/16/2017,M. rutilus,M,SA,L,113,1,300,5,Sherman,12,109.7,32.6,16.3
2017-563,7/16/2017,M. rutilus,M,A,D,114,1,60,4,Victor,20.1,99.1,33.8,16.6
2017-564,7/16/2017,M. rutilus,M,SA,L,114,1,60,4,Sherman,24,119.5,36.2,17.6
2017-566,7/16/2017,M. rutilus,M,A,L,114,1,300,3,Sherman,19.5,109.9,37.2,15.4
2017-567,7/16/2017,M. rutilus,F,A,L,114,1,300,4,Victor,26.9,108.4,34.9,17
2017-568,7/16/2017,M. rutilus,M,A,L,114,1,300,4,Sherman,15,106.6,28,17.1
2017-569,7/16/2017,M. rutilus,M,SA,D,114,1,300,7,Victor,16.7,98.9,28.3,16.4
2017-570,7/16/2017,M. rutilus,M,A,L,114,1,300,8,Sherman,24,122.7,41.5,17.6
2017-571,7/16/2017,M. rutilus,M,J,L,114,1,300,10,Sherman,14,104.1,34.5,17.6
2017-572,7/17/2017,S. monticolus,U,J,D,107,3,60,4,Pitfall,3,79.5,39.3,10.5
2017-573,7/17/2017,S. cinereus,U,J,D,107,3,180,2,Victor,3.7,83.7,40,9.7
2017-574,7/17/2017,M. rutilus,M,A,L,107,3,180,2,Sherman,19,121.7,31.4,16
2017-575,7/17/2017,M. rutilus,M,J,D,107,3,180,5,Victor,15.3,96.3,26.5,17.8
2017-576,7/17/2017,S. cinereus,M,A,D,107,3,180,5,Pitfall,4.6,83.7,38.8,10.6
2017-577,7/17/2017,M. rutilus,M,J,D,107,3,180,6,Victor,13.3,86.6,23.3,16.2
2017-578,7/17/2017,M. rutilus,M,A,D,107,3,180,7,Victor,18.9,105.1,30.3,16.2
2017-579,7/17/2017,M. rutilus,M,A,D,107,3,180,8,Victor,24,115.1,30.1,15.8
2017-580,7/17/2017,S. cinereus,M,A,D,107,3,180,8,Pitfall,4.5,72.2,36.2,10.7
2017-581,7/17/2017,M. rutilus,M,SA,L,107,3,180,9,Sherman,14,95.5,26.5,16.5
2017-582,7/17/2017,S. cinereus,U,J,D,107,3,180,10,Pitfall,3.3,80.7,39,10.6
2017-584,7/17/2017,M. rutilus,M,SA,D,107,3,300,2,Victor,17.6,97.9,29.4,17.4
2017-585,7/17/2017,S. cinereus,U,J,D,107,3,300,3,Victor,3.8,85.6,44.5,10.9
